,name,rating,ctype,hq,old,employees
0,TCS,3.9,Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 1076 more",29 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1298 more",29 years old,50k-1 Lakh Employees (India)
5,Wipro,3.9,Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
10,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
11,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
13,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
14,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
15,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
16,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
17,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
18,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
19,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
20,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
21,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
22,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
23,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
24,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
25,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
26,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
27,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
28,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
29,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
30,TCS,3.9,Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
31,Accenture,4.1,Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
32,Cognizant,4.0,Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
33,ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 1076 more",29 years old,1 Lakh+ Employees (India)
34,HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1298 more",29 years old,50k-1 Lakh Employees (India)
35,Wipro,3.9,Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
36,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
37,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
38,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
39,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
40,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
41,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
42,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
43,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
44,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
45,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
46,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
47,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
48,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
49,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
50,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
51,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
52,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
53,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
54,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
55,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
56,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
57,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
58,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
59,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
60,TCS,3.9,Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
61,Accenture,4.1,Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
62,Cognizant,4.0,Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
63,ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 1076 more",29 years old,1 Lakh+ Employees (India)
64,HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1298 more",29 years old,50k-1 Lakh Employees (India)
65,Wipro,3.9,Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
66,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
67,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
68,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
69,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
70,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
71,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
72,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
73,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
74,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
75,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
76,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
77,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
78,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
79,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
80,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
81,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
82,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
83,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
84,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
85,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
86,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
87,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
88,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
89,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
90,TCS,3.9,Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
91,Accenture,4.1,Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
92,Cognizant,4.0,Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
93,ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 1076 more",29 years old,1 Lakh+ Employees (India)
94,HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1298 more",29 years old,50k-1 Lakh Employees (India)
95,Wipro,3.9,Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
96,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
97,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
98,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
99,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
100,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
101,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
102,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
103,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
104,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
105,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
106,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
107,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
108,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
109,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
110,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
111,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
112,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
113,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
114,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
115,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
116,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
117,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
118,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
119,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
120,TCS,3.9,Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
121,Accenture,4.1,Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
122,Cognizant,4.0,Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
123,ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 1076 more",29 years old,1 Lakh+ Employees (India)
124,HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1298 more",29 years old,50k-1 Lakh Employees (India)
125,Wipro,3.9,Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
126,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
127,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
128,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
129,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
130,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
131,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
132,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
133,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
134,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
135,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
136,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
137,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
138,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
139,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
140,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
141,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
142,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
143,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
144,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
145,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
146,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
147,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
148,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
149,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
