,name,rating,ctype,hq,old,employees
150,TCS,3.9,Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
151,Accenture,4.1,Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
152,Cognizant,4.0,Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
153,ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 1076 more",29 years old,1 Lakh+ Employees (India)
154,HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1298 more",29 years old,50k-1 Lakh Employees (India)
155,Wipro,3.9,Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
156,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
157,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
158,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
159,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
160,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
161,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
162,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
163,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
164,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
165,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
166,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
167,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
168,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
169,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
170,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
171,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
172,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
173,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
174,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
175,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
176,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
177,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
178,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
179,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
180,TCS,3.9,Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
181,Accenture,4.1,Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
182,Cognizant,4.0,Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
183,ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 1076 more",29 years old,1 Lakh+ Employees (India)
184,HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1298 more",29 years old,50k-1 Lakh Employees (India)
185,Wipro,3.9,Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
186,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
187,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
188,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
189,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
190,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
191,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
192,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
193,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
194,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
195,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
196,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
197,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
198,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
199,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
200,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
201,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
202,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
203,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
204,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
205,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
206,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
207,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
208,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
209,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
210,TCS,3.9,Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
211,Accenture,4.1,Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
212,Cognizant,4.0,Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
213,ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 1076 more",29 years old,1 Lakh+ Employees (India)
214,HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1298 more",29 years old,50k-1 Lakh Employees (India)
215,Wipro,3.9,Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
216,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
217,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
218,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
219,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
220,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
221,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
222,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
223,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
224,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
225,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
226,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
227,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
228,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
229,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
230,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
231,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
232,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
233,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
234,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
235,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
236,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
237,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
238,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
239,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
240,TCS,3.9,Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
241,Accenture,4.1,Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
242,Cognizant,4.0,Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
243,ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 1076 more",29 years old,1 Lakh+ Employees (India)
244,HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1298 more",29 years old,50k-1 Lakh Employees (India)
245,Wipro,3.9,Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
246,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
247,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
248,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
249,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
250,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
251,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
252,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
253,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
254,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
255,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
256,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
257,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
258,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
259,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
260,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
261,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
262,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
263,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
264,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
265,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
266,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
267,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
268,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
269,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
270,TCS,3.9,Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
271,Accenture,4.1,Public,Dublin + 134 more,34 years old,1 Lakh+ Employees (India)
272,Cognizant,4.0,Private,Teaneck. New Jersey. + 102 more,29 years old,1 Lakh+ Employees (India)
273,ICICI Bank,4.0,Public,"Mumbai,Maharashtra + 1076 more",29 years old,1 Lakh+ Employees (India)
274,HDFC Bank,4.0,Public,"Mumbai,Maharashtra + 1298 more",29 years old,50k-1 Lakh Employees (India)
275,Wipro,3.9,Public,"Bangalore/Bengaluru,Karnataka + 229 more",78 years old,1 Lakh+ Employees (India)
276,Infosys,3.9,Public,"Bengaluru/Bangalore,Karnataka + 128 more",42 years old,1 Lakh+ Employees (India)
277,Capgemini,3.9,Public,Paris + 79 more,56 years old,1 Lakh+ Employees (India)
278,Tech Mahindra,3.7,Public,"Pune,Maharashtra + 213 more",37 years old,50k-1 Lakh Employees (India)
279,Genpact,4.0,Public,"New York,New York + 69 more",26 years old,50k-1 Lakh Employees (India)
280,HCLTech,3.8,Public,"Noida,Uttar Pradesh + 141 more",32 years old,1 Lakh+ Employees (India)
281,Amazon,4.2,Public,"Seattle,Washington + 387 more",29 years old,1 Lakh+ Employees (India)
282,Axis Bank,3.9,Public,"Mumbai,Maharashtra + 1129 more",30 years old,50k-1 Lakh Employees (India)
283,Concentrix Corpo...,4.0,Public,"Fremont,California + 71 more",40 years old,10k-50k Employees (India)
284,IBM,4.2,Public,"Armonk,New York + 122 more",112 years old,1 Lakh+ Employees (India)
285,Reliance Jio,4.0,Public,"Navi Mumbai,Maharashtra + 1022 more",16 years old,50k-1 Lakh Employees (India)
286,Larsen & Toubro ...,4.1,Public,"Mumbai,Maharashtra + 537 more",77 years old,10k-50k Employees (India)
287,HDB Financial Se...,4.0,Private,"Ahmedabad,Gujrat + 814 more",16 years old,1 Lakh+ Employees (India)
288,Vodafone Idea,4.2,Public,"Gandhinagar,Gujrat + 578 more",5 years old,10k-50k Employees (India)
289,Teleperformance,3.6,Private,Paris + 122 more,45 years old,50k-1 Lakh Employees (India)
290,Reliance Retail,4.1,Private,"Navi Mumbai,Maharashtra + 742 more",17 years old,1 Lakh+ Employees (India)
291,Kotak Mahindra B...,3.9,Public,"Mumbai,Maharashtra + 484 more",20 years old,10k-50k Employees (India)
292,Reliance Industr...,4.1,Public,"Navi Mumbai,Maharashtra + 524 more",50 years old,10k-50k Employees (India)
293,Deloitte,4.1,Private,"New York,New York + 132 more",178 years old,10k-50k Employees (India)
294,Bharti Airtel,4.1,Public,"Gurgaon/Gurugram,Haryana + 542 more",28 years old,10k-50k Employees (India)
295,BYJU'S,3.4,Private,"Bangalore,Karnataka + 265 more",12 years old,1k-5k Employees (India)
296,Tata Motors,4.1,Public,"Pune,Maharashtra + 395 more",78 years old,10k-50k Employees (India)
297,Flipkart,4.2,Public,"Bangalore,Karnataka + 466 more",16 years old,10k-50k Employees (India)
298,WNS,3.7,Private,"Mumbai,Maharashtra + 24 more",27 years old,10k-50k Employees (India)
299,IndusInd Bank,3.8,Public,"Gurgaon/Gurugram,Haryana + 579 more",29 years old,10k-50k Employees (India)
